epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.063,1.4207,1.73158,0.01787,0.71058,0.56153,0.65635,0.49837,0.99786,1.66967,0.01319,9.99367e-05,9.99367e-05,0.0501316
2,712.384,1.32767,1.47319,0.01603,0.81153,0.67161,0.76006,0.60502,0.84818,1.17454,0.01024,0.000199659,0.000199659,0.000231325
3,1056.88,1.27873,1.36775,0.01538,0.7681,0.66378,0.75813,0.61947,0.8013,1.16552,0.00975,0.000198892,0.000198892,0.000198892
4,1383.73,1.27052,1.33472,0.01517,0.83068,0.68019,0.77275,0.61779,0.84624,1.13374,0.01091,0.000197513,0.000197513,0.000197513
5,1703.23,1.26425,1.31991,0.01522,0.80717,0.69646,0.78126,0.64057,0.77305,1.08497,0.00948,0.000195595,0.000195595,0.000195595
6,2021.5,1.25541,1.29605,0.01501,0.80079,0.71757,0.79132,0.6441,0.79162,1.00733,0.00991,0.000193149,0.000193149,0.000193149
7,2323.51,1.25008,1.28374,0.01496,0.82023,0.69671,0.78111,0.64872,0.78142,1.01652,0.00963,0.000190191,0.000190191,0.000190191
8,2623.73,1.24437,1.27336,0.01491,0.80651,0.70884,0.78269,0.64115,0.78204,1.09492,0.0095,0.000186738,0.000186738,0.000186738
9,2911.75,1.24315,1.25983,0.01479,0.82581,0.70711,0.79079,0.64966,0.7916,1.07451,0.00969,0.000182812,0.000182812,0.000182812
10,3192.75,1.24492,1.2606,0.01483,0.80691,0.7279,0.7914,0.64962,0.80585,0.99081,0.00978,0.000178437,0.000178437,0.000178437
11,3473.81,1.23895,1.24884,0.01466,0.81583,0.72935,0.78462,0.64177,0.77989,1.0363,0.0096,0.00017364,0.00017364,0.00017364
12,3756.18,1.2354,1.23517,0.01459,0.81613,0.73079,0.79012,0.64857,0.77212,0.99954,0.00942,0.00016845,0.00016845,0.00016845
13,4035.77,1.23961,1.2218,0.01456,0.82224,0.71577,0.78768,0.64326,0.77447,1.08539,0.00954,0.000162901,0.000162901,0.000162901
14,4315.15,1.2261,1.21475,0.0145,0.84254,0.71405,0.79351,0.65262,0.76498,1.00604,0.00938,0.000157025,0.000157025,0.000157025
15,4599.67,1.22748,1.22055,0.01446,0.82236,0.73137,0.79839,0.66019,0.7637,1.00618,0.00937,0.000150859,0.000150859,0.000150859
16,4887.81,1.21527,1.20284,0.01443,0.84222,0.72617,0.79969,0.66402,0.75223,1.0029,0.00922,0.000144442,0.000144442,0.000144442
17,5177.05,1.22478,1.2003,0.01448,0.81452,0.72097,0.7894,0.65115,0.7545,1.0324,0.00912,0.000137812,0.000137812,0.000137812
18,5464.74,1.21586,1.19892,0.0144,0.85067,0.70094,0.78728,0.65483,0.74589,1.06265,0.00909,0.00013101,0.00013101,0.00013101
19,5743.23,1.20667,1.18564,0.01432,0.83728,0.73126,0.79216,0.66095,0.73774,1.01984,0.00903,0.000124079,0.000124079,0.000124079
20,6028.34,1.21355,1.1817,0.0143,0.82591,0.72964,0.79513,0.66084,0.74881,0.97887,0.00905,0.000117061,0.000117061,0.000117061
21,6316.88,1.21377,1.1835,0.01418,0.84268,0.7175,0.79431,0.66232,0.74302,0.97785,0.00894,0.00011,0.00011,0.00011
22,6604.87,1.20467,1.17499,0.01418,0.8004,0.72971,0.79026,0.65516,0.74859,1.03004,0.00902,0.000102939,0.000102939,0.000102939
23,6889.45,1.20632,1.17204,0.01414,0.81229,0.73498,0.78915,0.65637,0.74141,1.02055,0.00884,9.59209e-05,9.59209e-05,9.59209e-05
24,7167.85,1.20701,1.16752,0.01406,0.79685,0.7591,0.78946,0.65758,0.74156,1.00134,0.00886,8.89899e-05,8.89899e-05,8.89899e-05
25,7447.35,1.19602,1.16325,0.01409,0.80645,0.7438,0.79481,0.66252,0.73112,0.99725,0.00868,8.21885e-05,8.21885e-05,8.21885e-05
26,7728.49,1.1901,1.15199,0.01398,0.83734,0.7331,0.7982,0.66093,0.73442,0.98907,0.00875,7.55585e-05,7.55585e-05,7.55585e-05
27,8010.07,1.19748,1.14785,0.01401,0.85273,0.74523,0.80313,0.66606,0.74481,0.97576,0.0089,6.91409e-05,6.91409e-05,6.91409e-05
28,8289.64,1.19762,1.14659,0.01395,0.84089,0.74188,0.79481,0.66103,0.73604,0.98681,0.00888,6.29751e-05,6.29751e-05,6.29751e-05
29,8569.25,1.19445,1.15052,0.01397,0.82712,0.72964,0.79261,0.66005,0.73508,0.99194,0.00876,5.70993e-05,5.70993e-05,5.70993e-05
30,8849.08,1.19096,1.14489,0.01384,0.83814,0.73587,0.79764,0.66618,0.7355,0.99406,0.00885,5.15497e-05,5.15497e-05,5.15497e-05
31,9134.86,1.15707,0.98647,0.0167,0.81411,0.74383,0.79575,0.66281,0.74507,0.99479,0.00903,4.63604e-05,4.63604e-05,4.63604e-05
32,9409.38,1.14389,0.95946,0.01634,0.84458,0.71924,0.79154,0.65713,0.74395,0.99327,0.00896,4.15635e-05,4.15635e-05,4.15635e-05
33,9683.53,1.13706,0.94889,0.01624,0.84244,0.71231,0.79117,0.65974,0.74406,0.9803,0.00895,3.71885e-05,3.71885e-05,3.71885e-05
34,9957.82,1.13308,0.94262,0.01615,0.83853,0.72964,0.79592,0.66416,0.74401,0.96564,0.00895,3.32624e-05,3.32624e-05,3.32624e-05
35,10232.5,1.13313,0.94344,0.01614,0.83161,0.7331,0.79648,0.6654,0.74573,0.95413,0.00893,2.98094e-05,2.98094e-05,2.98094e-05
36,10508.2,1.12583,0.93993,0.01601,0.8277,0.73484,0.79532,0.66546,0.74728,0.94598,0.00897,2.68508e-05,2.68508e-05,2.68508e-05
37,10811.8,1.12133,0.9373,0.01596,0.86135,0.71231,0.79609,0.66457,0.74662,0.94498,0.00898,2.44049e-05,2.44049e-05,2.44049e-05
38,11186.6,1.12068,0.9287,0.01586,0.87,0.71231,0.79643,0.66382,0.74508,0.95125,0.00902,2.24867e-05,2.24867e-05,2.24867e-05
39,11568.7,1.12263,0.92694,0.01585,0.86005,0.71577,0.79784,0.66659,0.74844,0.94554,0.00908,2.1108e-05,2.1108e-05,2.1108e-05
40,11919.4,1.12064,0.9238,0.01585,0.85741,0.71906,0.79909,0.66644,0.75122,0.94336,0.00913,2.02774e-05,2.02774e-05,2.02774e-05
