epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.379,1.36099,1.31798,0.01442,0.90913,0.57456,0.69608,0.56418,0.96318,1.20404,0.01245,9.99399e-05,9.99399e-05,0.00016
2,705.394,1.27321,1.17717,0.01292,0.74191,0.68014,0.70481,0.59433,0.93436,1.13203,0.01183,9.97535e-05,9.97535e-05,9.97535e-05
3,1048.21,1.26026,1.15709,0.01267,0.69794,0.6776,0.68681,0.57121,0.88405,1.18945,0.01119,9.90166e-05,9.90166e-05,9.90166e-05
4,1389.46,1.24799,1.14544,0.01266,0.72202,0.66046,0.6868,0.5842,0.86076,1.16922,0.01078,9.77975e-05,9.77975e-05,9.77975e-05
5,1731.23,1.24257,1.13985,0.01255,0.75771,0.65106,0.66129,0.55548,0.90071,1.26369,0.01167,9.61095e-05,9.61095e-05,9.61095e-05
6,2070.73,1.2279,1.1184,0.01244,0.84167,0.58649,0.66428,0.56456,0.82618,1.26945,0.01015,9.39711e-05,9.39711e-05,9.39711e-05
7,2413.49,1.2392,1.13039,0.01245,0.77394,0.65461,0.67706,0.57727,0.82578,1.14532,0.01045,9.14058e-05,9.14058e-05,9.14058e-05
8,2760,1.22694,1.10614,0.01238,0.8295,0.62466,0.66863,0.57498,0.79043,1.24598,0.00966,8.84415e-05,8.84415e-05,8.84415e-05
9,3104.7,1.2197,1.10971,0.01233,0.85012,0.57079,0.64846,0.56538,0.75459,1.25697,0.00913,8.51109e-05,8.51109e-05,8.51109e-05
10,3441.76,1.21885,1.10796,0.01227,0.83485,0.62683,0.65956,0.58711,0.73709,1.23453,0.00884,8.14503e-05,8.14503e-05,8.14503e-05
11,3774.51,1.21621,1.09076,0.0122,0.80982,0.62643,0.6563,0.57173,0.75173,1.24435,0.00908,7.75e-05,7.75e-05,7.75e-05
12,4126.41,1.21491,1.08061,0.01213,0.8421,0.62348,0.66797,0.58652,0.76852,1.18835,0.00945,7.33031e-05,7.33031e-05,7.33031e-05
