epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.363,1.42771,1.76379,0.01195,0.82337,0.53594,0.66146,0.55069,0.88924,1.20342,0.01141,9.98106e-05,9.98106e-05,0.000289205
2,232.076,1.33126,1.57027,0.01059,0.82605,0.5778,0.69022,0.57179,0.87608,1.32046,0.01095,9.96452e-05,9.96452e-05,9.96452e-05
3,345.576,1.31785,1.56052,0.01053,0.84895,0.59281,0.68976,0.57616,0.87966,1.19554,0.0114,9.85862e-05,9.85862e-05,9.85862e-05
4,466.071,1.32576,1.52606,0.01034,0.79941,0.60788,0.69559,0.56925,0.89779,1.17892,0.01153,9.68399e-05,9.68399e-05,9.68399e-05
5,595.731,1.30862,1.50972,0.01035,0.8429,0.59064,0.70541,0.58494,0.8539,1.20664,0.0108,9.44338e-05,9.44338e-05,9.44338e-05
6,726.066,1.31352,1.50955,0.01027,0.81731,0.60942,0.69583,0.58436,0.83938,1.21075,0.01069,9.14058e-05,9.14058e-05,9.14058e-05
7,876.203,1.30412,1.48349,0.01018,0.80225,0.57047,0.67979,0.56564,0.89125,1.26586,0.01144,8.78036e-05,8.78036e-05,8.78036e-05
8,1004.89,1.30386,1.47884,0.01014,0.72538,0.60594,0.66672,0.55287,0.89097,1.27284,0.01124,8.36841e-05,8.36841e-05,8.36841e-05
9,1119.27,1.31103,1.46919,0.01002,0.77149,0.57627,0.6715,0.56093,0.84777,1.30321,0.01076,7.91122e-05,7.91122e-05,7.91122e-05
10,1234.53,1.28388,1.44454,0.00994,0.79843,0.58833,0.67244,0.55483,0.86645,1.30395,0.01087,7.41601e-05,7.41601e-05,7.41601e-05
11,1352.46,1.29738,1.44098,0.01005,0.7729,0.59465,0.66568,0.55099,0.86438,1.36074,0.01093,6.89058e-05,6.89058e-05,6.89058e-05
12,1474.19,1.29384,1.43661,0.00985,0.69615,0.63771,0.66602,0.55213,0.88221,1.34475,0.01116,6.34322e-05,6.34322e-05,6.34322e-05
13,1587.92,1.30434,1.42684,0.00986,0.75109,0.59829,0.68174,0.56953,0.86959,1.28908,0.01098,5.78256e-05,5.78256e-05,5.78256e-05
