epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.064,1.26016,3.74453,0.01419,0.22783,0.17923,0.1195,0.0567,1.81785,4.95478,0.0169,0.000332237,0.000332237,0.000332237
2,272.801,1.33092,2.75708,0.01512,0.3099,0.21709,0.17801,0.08453,1.78192,3.15998,0.01659,0.000643606,0.000643606,0.000643606
3,403.13,1.35892,2.30596,0.01588,0.35028,0.245,0.19967,0.08971,1.81476,3.03804,0.01726,0.000932976,0.000932976,0.000932976
4,533.102,1.38839,2.1132,0.01595,0.36735,0.26678,0.21626,0.1003,1.85227,2.96575,0.01732,0.000901,0.000901,0.000901
5,663.206,1.35642,1.90364,0.01552,0.38425,0.26946,0.22733,0.10589,1.86355,2.74231,0.01781,0.000868,0.000868,0.000868
6,793.048,1.3402,1.8369,0.01539,0.39372,0.3269,0.28247,0.1368,1.79931,2.4706,0.01674,0.000835,0.000835,0.000835
7,923.151,1.32622,1.73379,0.01538,0.43707,0.33944,0.3202,0.15557,1.81145,2.45286,0.01693,0.000802,0.000802,0.000802
8,1049.81,1.32207,1.66769,0.01475,0.39939,0.29739,0.26874,0.12945,1.82574,2.71116,0.01724,0.000769,0.000769,0.000769
9,1172.99,1.31912,1.61558,0.0146,0.41686,0.32206,0.29117,0.13688,1.81179,2.5976,0.01731,0.000736,0.000736,0.000736
10,1297.3,1.29287,1.5432,0.01464,0.45303,0.35501,0.30874,0.15093,1.79156,2.4589,0.01679,0.000703,0.000703,0.000703
11,1432.44,1.26858,1.49435,0.01443,0.48108,0.38401,0.35926,0.17996,1.80208,2.26327,0.01665,0.00067,0.00067,0.00067
12,1590.75,1.26778,1.45434,0.01403,0.49813,0.38164,0.36826,0.1845,1.81848,2.27647,0.01692,0.000637,0.000637,0.000637
13,1809.68,1.24493,1.38069,0.014,0.46007,0.3724,0.33217,0.16103,1.76232,2.41077,0.01652,0.000604,0.000604,0.000604
14,2107.44,1.25658,1.38868,0.01343,0.51856,0.4134,0.40573,0.21045,1.75818,2.11671,0.01624,0.000571,0.000571,0.000571
15,2413.71,1.24203,1.34346,0.01334,0.49109,0.40353,0.38221,0.19235,1.76647,2.18682,0.01633,0.000538,0.000538,0.000538
16,2674.99,1.21893,1.28965,0.01311,0.53232,0.41938,0.41471,0.21002,1.75767,2.09336,0.01624,0.000505,0.000505,0.000505
17,2930.33,1.1975,1.2612,0.01306,0.51955,0.422,0.40841,0.20964,1.7362,2.07605,0.01595,0.000472,0.000472,0.000472
18,3178.6,1.20881,1.25868,0.01286,0.52478,0.40375,0.40607,0.20711,1.75128,2.1015,0.01599,0.000439,0.000439,0.000439
19,3417.72,1.1794,1.20989,0.01271,0.51344,0.42,0.42148,0.22182,1.74684,2.07529,0.016,0.000406,0.000406,0.000406
20,3768.46,1.17778,1.20128,0.01256,0.53201,0.41649,0.41089,0.21372,1.73874,2.06388,0.01586,0.000373,0.000373,0.000373
21,4030.79,1.16326,1.09041,0.01555,0.52087,0.41646,0.40989,0.21101,1.76559,2.09055,0.01617,0.00034,0.00034,0.00034
22,4243.91,1.15094,1.04468,0.01523,0.52189,0.42752,0.41132,0.21127,1.77697,2.04901,0.01633,0.000307,0.000307,0.000307
23,4469.75,1.13396,0.99273,0.01483,0.53459,0.43941,0.42322,0.22028,1.75578,2.06068,0.01613,0.000274,0.000274,0.000274
24,4682.04,1.11114,0.97444,0.01443,0.53764,0.43941,0.42604,0.2211,1.76237,2.06245,0.0162,0.000241,0.000241,0.000241
25,4960.43,1.09391,0.94486,0.01422,0.53914,0.43725,0.43301,0.22386,1.75197,2.03575,0.01599,0.000208,0.000208,0.000208
26,5213.52,1.09325,0.91955,0.01377,0.54802,0.44959,0.44779,0.23113,1.75274,1.97984,0.01584,0.000175,0.000175,0.000175
27,5329.47,1.07361,0.90425,0.01359,0.564,0.43435,0.43064,0.22275,1.75744,2.09285,0.01605,0.000142,0.000142,0.000142
28,5443.36,1.07016,0.89657,0.01352,0.54456,0.4457,0.44189,0.23026,1.74316,2.04688,0.01589,0.000109,0.000109,0.000109
29,5556.67,1.05529,0.88935,0.01328,0.5667,0.44307,0.45084,0.23569,1.73491,2.02454,0.01565,7.6e-05,7.6e-05,7.6e-05
30,5669.75,1.04637,0.87659,0.01289,0.55933,0.4451,0.44678,0.23482,1.73995,2.02269,0.01579,4.3e-05,4.3e-05,4.3e-05
