epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,678.529,1.27405,3.58057,0.01407,0.45938,0.32954,0.31907,0.21195,1.4216,2.65697,0.01568,0.000333075,0.000333075,0.000333075
2,1335.89,1.37842,2.34872,0.01579,0.50647,0.39125,0.38336,0.24898,1.50815,2.29649,0.01739,0.000644416,0.000644416,0.000644416
3,1973.77,1.41475,2.13635,0.01633,0.51506,0.39539,0.39726,0.2646,1.4635,2.085,0.01709,0.000933758,0.000933758,0.000933758
4,2613.48,1.41983,2.00407,0.01617,0.57525,0.43682,0.46725,0.30402,1.51128,1.93323,0.01746,0.000901,0.000901,0.000901
5,3235.61,1.39147,1.89633,0.01586,0.57619,0.41261,0.4434,0.30421,1.48494,2.00786,0.01692,0.000868,0.000868,0.000868
6,3837.39,1.37163,1.82451,0.01546,0.63968,0.45737,0.51401,0.35592,1.4603,1.81274,0.01599,0.000835,0.000835,0.000835
7,4434.21,1.3586,1.76171,0.01521,0.64535,0.46954,0.5307,0.36809,1.46899,1.7717,0.01605,0.000802,0.000802,0.000802
8,5031.83,1.34858,1.71407,0.01492,0.65955,0.49301,0.55762,0.39495,1.41301,1.70506,0.01518,0.000769,0.000769,0.000769
9,5628.2,1.32657,1.6605,0.01484,0.71198,0.4925,0.57642,0.40988,1.41521,1.61137,0.01499,0.000736,0.000736,0.000736
10,6228.08,1.31462,1.61829,0.01454,0.70726,0.48731,0.57619,0.41482,1.40303,1.72255,0.01487,0.000703,0.000703,0.000703
11,6829.21,1.31469,1.575,0.01429,0.68014,0.51787,0.58289,0.41527,1.4028,1.57295,0.01488,0.00067,0.00067,0.00067
12,7429.44,1.29927,1.54348,0.01406,0.68475,0.51579,0.58108,0.42229,1.36105,1.61361,0.01425,0.000637,0.000637,0.000637
13,8052.96,1.28634,1.50582,0.01392,0.6942,0.5303,0.60668,0.44104,1.34356,1.5594,0.01407,0.000604,0.000604,0.000604
14,8673.57,1.28027,1.48386,0.0137,0.69435,0.53524,0.60537,0.44405,1.33279,1.58516,0.01382,0.000571,0.000571,0.000571
15,9287.55,1.26342,1.43421,0.01359,0.73445,0.53215,0.61993,0.45813,1.32776,1.55183,0.01363,0.000538,0.000538,0.000538
16,9916.4,1.26157,1.41407,0.01348,0.73169,0.54335,0.63434,0.4651,1.35052,1.44774,0.01381,0.000505,0.000505,0.000505
17,10585.7,1.23934,1.38097,0.01324,0.70813,0.55854,0.63529,0.46868,1.32843,1.4887,0.01357,0.000472,0.000472,0.000472
18,11269.4,1.23342,1.36116,0.01307,0.73211,0.56258,0.64023,0.47541,1.34171,1.51657,0.0137,0.000439,0.000439,0.000439
19,11949.3,1.22937,1.32951,0.01299,0.71873,0.56849,0.64018,0.47671,1.32266,1.48202,0.01344,0.000406,0.000406,0.000406
20,12869.8,1.21961,1.30915,0.01279,0.71773,0.58382,0.65098,0.48242,1.32842,1.45446,0.01346,0.000373,0.000373,0.000373
21,13779.8,1.19572,1.18787,0.01585,0.72443,0.56961,0.64588,0.48317,1.30971,1.46161,0.01316,0.00034,0.00034,0.00034
22,14645.3,1.16908,1.12941,0.01509,0.74502,0.57873,0.65869,0.49199,1.3028,1.41901,0.013,0.000307,0.000307,0.000307
23,15468.1,1.15553,1.09843,0.01483,0.75197,0.58188,0.66667,0.49664,1.30879,1.35006,0.01299,0.000274,0.000274,0.000274
24,16325.3,1.14732,1.07897,0.0145,0.74719,0.59145,0.66796,0.4998,1.29978,1.37254,0.01285,0.000241,0.000241,0.000241
25,17173.7,1.13304,1.05318,0.01418,0.74839,0.59249,0.66813,0.50279,1.30144,1.37561,0.01279,0.000208,0.000208,0.000208
26,17842.3,1.12468,1.01658,0.01388,0.73286,0.59518,0.66947,0.50254,1.3003,1.3663,0.0128,0.000175,0.000175,0.000175
27,18407.1,1.1063,0.99296,0.01367,0.74834,0.58887,0.6683,0.50132,1.3041,1.39355,0.01283,0.000142,0.000142,0.000142
28,18972.1,1.09941,0.97665,0.01359,0.75097,0.58846,0.66688,0.50105,1.29511,1.41333,0.01274,0.000109,0.000109,0.000109
29,19585.9,1.09719,0.96541,0.01334,0.76672,0.58596,0.66922,0.50246,1.29332,1.3899,0.01272,7.6e-05,7.6e-05,7.6e-05
30,20196.6,1.09594,0.96459,0.01335,0.75685,0.592,0.67218,0.5053,1.29114,1.39268,0.01269,4.3e-05,4.3e-05,4.3e-05
