epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,681.828,1.38449,3.27758,0.01428,0.56802,0.38954,0.4047,0.27851,1.36559,2.32652,0.01479,0.00999515,0.00333172,0.00999515,0.00333172,0.00999515,0.00333172,0.00999515,0.00333172
2,1213.73,1.46521,2.15107,0.01537,0.56016,0.41739,0.42482,0.28247,1.4695,2.03665,0.01666,0.0199903,0.00666342,0.0199903,0.00666342,0.0199903,0.00666342,0.0199903,0.00666342
3,1744.95,1.54149,2.12616,0.01681,0.54817,0.38705,0.41128,0.25764,1.56775,2.06199,0.01874,0.0299659,0.00998862,0.0299659,0.00998862,0.0299659,0.00998862,0.0299659,0.00998862
4,2224.67,1.58598,2.15154,0.01739,0.50626,0.36773,0.37617,0.24699,1.55911,2.34435,0.01806,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,2700.51,1.55834,2.02717,0.0167,0.59694,0.44552,0.48194,0.3196,1.51659,1.82605,0.01721,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,3188.67,1.53444,1.95003,0.01644,0.60168,0.45703,0.49574,0.33749,1.49344,1.87737,0.01694,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,3668.86,1.51109,1.88713,0.016,0.67092,0.46832,0.54485,0.38145,1.41794,1.65967,0.01559,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,4155.68,1.50161,1.8372,0.01586,0.67194,0.49175,0.55773,0.39064,1.43298,1.65513,0.01554,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,4645.87,1.49368,1.80989,0.01557,0.67414,0.51681,0.58763,0.41525,1.39134,1.54045,0.01516,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,5146.58,1.47854,1.76159,0.01548,0.69711,0.51609,0.59112,0.4239,1.36863,1.54027,0.01462,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,5630.6,1.47911,1.7366,0.01535,0.68444,0.53234,0.60539,0.43242,1.37745,1.54601,0.01476,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,6092.08,1.46568,1.7172,0.01517,0.69825,0.53338,0.60835,0.43886,1.36708,1.4992,0.01438,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,6554.68,1.45601,1.69494,0.01513,0.6978,0.55485,0.62477,0.44988,1.35777,1.45517,0.01435,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,7022.56,1.44679,1.66806,0.01498,0.705,0.56733,0.6313,0.45748,1.34356,1.43654,0.01404,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,7632.61,1.44318,1.65835,0.01495,0.71523,0.55325,0.63215,0.45907,1.33345,1.43826,0.01388,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,8212.71,1.44238,1.63953,0.01482,0.71646,0.57401,0.63675,0.4651,1.33723,1.40189,0.01385,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,8703.13,1.4357,1.62338,0.01469,0.7399,0.55694,0.64468,0.47318,1.32256,1.39885,0.01372,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,9234.76,1.43911,1.61291,0.01491,0.7294,0.56997,0.64961,0.4788,1.31745,1.37645,0.01354,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,485.611,1.42421,1.5851,0.01469,0.74087,0.57661,0.65807,0.4861,1.30614,1.37353,0.01332,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,977.782,1.42667,1.5794,0.01455,0.7538,0.57678,0.66383,0.48988,1.30971,1.35184,0.01334,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,1448.05,1.40892,1.56017,0.01454,0.73311,0.58333,0.6639,0.49262,1.30381,1.35371,0.01324,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,1914.28,1.41659,1.55664,0.01455,0.74027,0.59339,0.66784,0.49505,1.30154,1.35529,0.01318,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,2379.5,1.41451,1.54233,0.01435,0.73433,0.60024,0.67395,0.49905,1.30272,1.34263,0.01314,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,2844.7,1.40435,1.539,0.01436,0.73573,0.60639,0.67602,0.50329,1.29738,1.32542,0.01307,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,3310.7,1.4014,1.51519,0.01426,0.74257,0.60354,0.67882,0.50535,1.29305,1.32502,0.01303,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,3782.33,1.39831,1.51301,0.01429,0.75396,0.60352,0.68076,0.50605,1.29362,1.31964,0.013,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,4259.7,1.40239,1.50485,0.01416,0.74788,0.61156,0.68296,0.50784,1.29161,1.31406,0.01297,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,4731.75,1.39528,1.49035,0.0142,0.7591,0.60576,0.68466,0.50959,1.28974,1.31074,0.01292,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,5237.54,1.39919,1.47553,0.01412,0.75353,0.61133,0.68561,0.51117,1.28737,1.31162,0.0129,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,5749.38,1.39382,1.46981,0.0141,0.75174,0.61346,0.68708,0.51251,1.28651,1.30812,0.01288,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,6213.4,1.38656,1.46439,0.01408,0.75403,0.61448,0.68842,0.51377,1.28565,1.30561,0.01287,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,6684.25,1.37798,1.4482,0.01392,0.74858,0.6195,0.68994,0.51488,1.28382,1.30786,0.01283,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,7155.15,1.37771,1.44876,0.01393,0.75446,0.62031,0.69144,0.51582,1.2835,1.30279,0.01283,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,7634.06,1.37942,1.43783,0.01386,0.75269,0.62258,0.69243,0.5166,1.28469,1.29854,0.01285,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,8116.83,1.37533,1.42715,0.0138,0.74378,0.62625,0.69271,0.51652,1.28388,1.29545,0.01283,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,8602.84,1.37909,1.42465,0.01398,0.74183,0.62757,0.69361,0.5179,1.28333,1.29295,0.01282,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,9086.96,1.37462,1.4298,0.01389,0.7496,0.62343,0.69426,0.51901,1.28173,1.29037,0.0128,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,9571.41,1.37333,1.42288,0.01377,0.76027,0.61992,0.6954,0.51979,1.27938,1.291,0.01276,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,10085.9,1.3703,1.40801,0.01364,0.75757,0.62226,0.69533,0.51982,1.27823,1.29101,0.01274,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,10686.2,1.35787,1.3992,0.01369,0.75661,0.6224,0.69576,0.52044,1.27709,1.29181,0.01273,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,11238.2,1.36111,1.38158,0.01369,0.76743,0.61834,0.69674,0.52097,1.27639,1.29164,0.01271,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,11770.1,1.35167,1.38261,0.01354,0.76474,0.62469,0.69812,0.52214,1.27467,1.29184,0.01269,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,12307.8,1.34791,1.37185,0.01348,0.77101,0.62194,0.69866,0.52267,1.27423,1.29084,0.01269,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,12845.3,1.35404,1.36327,0.01339,0.76439,0.62298,0.69796,0.52217,1.27346,1.28996,0.01268,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,13410.4,1.34247,1.3543,0.01345,0.76198,0.62747,0.69832,0.52279,1.2721,1.28984,0.01266,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,14008.3,1.33794,1.34915,0.01338,0.76519,0.62805,0.69916,0.52399,1.27177,1.28901,0.01264,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,14681.4,1.34183,1.33521,0.01329,0.76406,0.62742,0.70111,0.52623,1.27139,1.28665,0.01264,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,15353.2,1.33265,1.32633,0.01319,0.76377,0.62898,0.70131,0.52615,1.2715,1.28459,0.01264,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,15981.2,1.33416,1.31464,0.01322,0.77029,0.62791,0.70051,0.52542,1.27122,1.28383,0.01264,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,16550.2,1.32652,1.30543,0.0132,0.7792,0.62251,0.70153,0.52695,1.27065,1.28413,0.01263,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,17115.5,1.32719,1.29961,0.01321,0.76859,0.62841,0.70168,0.5271,1.27098,1.28301,0.01263,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,17731.6,1.32338,1.29501,0.01307,0.76428,0.62875,0.70106,0.52744,1.26967,1.28538,0.0126,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,18316.3,1.31466,1.2776,0.01307,0.77857,0.62103,0.70209,0.5287,1.26933,1.28466,0.0126,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,18863.1,1.31028,1.26994,0.01292,0.79016,0.61494,0.70205,0.52912,1.26815,1.28619,0.01257,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,19419.1,1.31242,1.28618,0.01302,0.78599,0.61825,0.70117,0.52816,1.26786,1.28643,0.01258,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,19987.8,1.31158,1.26747,0.01289,0.77489,0.62048,0.70005,0.52839,1.26692,1.28961,0.01255,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,20544.6,1.30233,1.24717,0.01285,0.77666,0.61624,0.69831,0.52716,1.26686,1.29057,0.01256,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,21036.8,1.29642,1.23832,0.01274,0.77515,0.61251,0.6973,0.52637,1.2655,1.29347,0.01254,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,21511.6,1.29667,1.23782,0.01265,0.77481,0.61346,0.69796,0.52748,1.26524,1.29345,0.01255,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,22004.2,1.28906,1.22907,0.01267,0.76868,0.61466,0.69814,0.52824,1.26547,1.29316,0.01256,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,22486.2,1.28145,1.21315,0.01262,0.75355,0.62255,0.69804,0.52759,1.26496,1.29455,0.01254,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,22957.9,1.27596,1.20128,0.01249,0.74865,0.62924,0.6976,0.52753,1.26488,1.29334,0.01254,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,23436.4,1.27485,1.18895,0.01243,0.73724,0.64047,0.69957,0.52907,1.26438,1.29312,0.01253,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,23913.6,1.27658,1.19682,0.01241,0.75601,0.6324,0.70111,0.53047,1.26382,1.29204,0.01252,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,24389.5,1.26436,1.16735,0.01231,0.74775,0.64313,0.70216,0.53141,1.26306,1.29195,0.01251,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,24848.4,1.26529,1.16952,0.01236,0.74812,0.64489,0.70428,0.53278,1.2649,1.28664,0.01254,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,25306.2,1.25828,1.15297,0.01228,0.75226,0.64339,0.70501,0.53321,1.2647,1.28612,0.01253,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,25764.6,1.25606,1.14984,0.01219,0.75782,0.64302,0.70595,0.53397,1.2638,1.28658,0.01251,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,26235.7,1.25454,1.15021,0.01212,0.76371,0.6431,0.70644,0.53418,1.26381,1.28792,0.01252,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,26716.1,1.25263,1.13805,0.01207,0.7659,0.641,0.70751,0.53518,1.26246,1.28938,0.0125,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,27201.8,1.23669,1.1233,0.01202,0.7696,0.63813,0.70709,0.53526,1.2628,1.28952,0.01251,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,27695,1.23744,1.11477,0.01201,0.77067,0.64173,0.7073,0.53503,1.26207,1.29289,0.0125,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,28185,1.23418,1.11034,0.01193,0.76614,0.64618,0.7078,0.53561,1.26192,1.29454,0.0125,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,28654.7,1.23415,1.09994,0.01183,0.76403,0.64594,0.70812,0.53627,1.26118,1.29852,0.01249,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,29132.1,1.22903,1.09831,0.01183,0.76912,0.64391,0.70805,0.53687,1.26238,1.29985,0.01251,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,29604.4,1.21483,1.08717,0.01181,0.77026,0.64334,0.70792,0.53702,1.26356,1.29987,0.01252,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,30081.4,1.21604,1.07938,0.01174,0.76921,0.64405,0.70823,0.53735,1.26338,1.30185,0.01252,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,30553.2,1.21765,1.08281,0.01163,0.77154,0.64521,0.70943,0.53828,1.26356,1.302,0.01252,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,31015.3,1.21152,1.06433,0.01166,0.77203,0.64562,0.70928,0.53798,1.2639,1.30608,0.01253,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,31475.8,1.2043,1.0507,0.01154,0.77195,0.64275,0.70899,0.53753,1.264,1.30848,0.01254,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
