epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,549.765,1.27831,3.59438,0.01397,0.46065,0.36234,0.34,0.23113,1.41565,2.64485,0.01537,0.00999224,0.00333075,0.00999224,0.00333075,0.00999224,0.00333075,0.00999224,0.00333075
2,1034.13,1.35866,2.25633,0.01518,0.51112,0.3933,0.38634,0.25904,1.46237,2.28051,0.01652,0.0199874,0.00666245,0.0199874,0.00666245,0.0199874,0.00666245,0.0199874,0.00666245
3,1459.93,1.46397,2.15353,0.01688,0.4206,0.32673,0.30444,0.18402,1.64803,2.35879,0.02024,0.0299629,0.00998765,0.0299629,0.00998765,0.0299629,0.00998765,0.0299629,0.00998765
4,1865.42,1.52301,2.19293,0.01792,0.50666,0.37499,0.38093,0.23882,1.62362,2.22206,0.01932,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,2302.09,1.49649,2.06979,0.01732,0.56191,0.41507,0.44392,0.29107,1.54448,1.98588,0.01803,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2714.05,1.4723,1.96323,0.01676,0.57063,0.43454,0.45541,0.29824,1.54333,1.9246,0.01787,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,3121.48,1.45656,1.90293,0.01646,0.60344,0.4047,0.4526,0.3132,1.55111,2.3445,0.01761,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,3536.57,1.43471,1.84957,0.01613,0.64024,0.47363,0.53305,0.35901,1.54485,1.79111,0.01726,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,3900.92,1.41762,1.81293,0.01604,0.6049,0.44946,0.49598,0.34792,1.4896,1.88785,0.0165,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,4211.36,1.40662,1.75438,0.01567,0.64968,0.48047,0.5415,0.38272,1.47915,1.73794,0.01616,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,4517,1.39801,1.71572,0.01568,0.66813,0.48522,0.54231,0.37941,1.46466,1.69525,0.01596,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,4827.04,1.39117,1.70104,0.01538,0.64447,0.47238,0.53564,0.37812,1.46157,1.76704,0.01587,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,5147.75,1.38869,1.67925,0.01518,0.68585,0.49764,0.56637,0.39964,1.45038,1.62821,0.01568,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,5461.72,1.37975,1.65481,0.01509,0.67423,0.49132,0.56283,0.40087,1.42287,1.71917,0.01525,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,5777.88,1.35922,1.61538,0.01498,0.6946,0.49406,0.57045,0.41837,1.39302,1.75145,0.01484,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,6090.71,1.36831,1.60808,0.01487,0.68058,0.51216,0.58281,0.41969,1.40216,1.59396,0.01492,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,6395.78,1.35218,1.58693,0.0148,0.66928,0.50873,0.57394,0.41884,1.37801,1.72144,0.01461,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,6712.45,1.35001,1.55846,0.01465,0.69182,0.5243,0.60366,0.43702,1.38431,1.56946,0.01454,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,7017.65,1.35164,1.55712,0.01469,0.71934,0.53687,0.6149,0.44881,1.36976,1.50388,0.01432,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,7308.08,1.34035,1.52244,0.01467,0.72258,0.53563,0.61781,0.44895,1.38576,1.53603,0.01436,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
