epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,769.052,1.16446,1.11414,0.01422,0.68883,0.56184,0.62167,0.43221,1.35049,1.47334,0.01706,0.00999612,0.00333204,0.00999612,0.00333204,0.00999612,0.00333204,0.00999612,0.00333204
2,1397.28,1.1568,1.15381,0.0135,0.70878,0.5755,0.64002,0.44884,1.35528,1.43714,0.01683,0.0199656,0.0066552,0.0199656,0.0066552,0.0199656,0.0066552,0.0199656,0.0066552
3,1991.65,1.21909,1.31887,0.01462,0.67631,0.52111,0.5864,0.40097,1.39286,1.62395,0.01783,0.0298133,0.00993777,0.0298133,0.00993777,0.0298133,0.00993777,0.0298133,0.00993777
4,2576.83,1.28771,1.49935,0.01576,0.66636,0.50838,0.57245,0.38846,1.42573,1.63415,0.01829,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
5,3161.41,1.29189,1.53101,0.01563,0.6628,0.52094,0.58052,0.39432,1.41299,1.60723,0.0181,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
6,3746.32,1.28627,1.52232,0.01548,0.66611,0.50131,0.57348,0.39473,1.39478,1.65481,0.01775,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
7,4331.15,1.27928,1.49232,0.01521,0.67536,0.51657,0.58161,0.39994,1.41014,1.6568,0.01777,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
8,4915.93,1.27384,1.46966,0.01513,0.713,0.53502,0.61715,0.42135,1.37956,1.5281,0.0173,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
9,5500.11,1.26363,1.46168,0.01508,0.70962,0.53807,0.61396,0.42467,1.38368,1.58327,0.01729,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
10,6085.25,1.25896,1.44473,0.01488,0.70986,0.52555,0.60572,0.42899,1.35157,1.57028,0.01674,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
