epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,548.42,1.33412,2.46757,0.0148,0.5821,0.42979,0.45355,0.29788,1.46253,1.80586,0.01639,0.00999224,0.00333075,0.00999224,0.00333075,0.00999224,0.00333075,0.00999224,0.00333075
2,1018.7,1.36812,1.82473,0.01527,0.50559,0.37393,0.37718,0.25374,1.526,2.29045,0.01769,0.0199874,0.00666245,0.0199874,0.00666245,0.0199874,0.00666245,0.0199874,0.00666245
3,1461.87,1.46099,1.96269,0.01685,0.45431,0.34365,0.32352,0.19905,1.66126,2.20964,0.02022,0.0299629,0.00998765,0.0299629,0.00998765,0.0299629,0.00998765,0.0299629,0.00998765
4,2881.32,1.51629,2.05732,0.01779,0.52962,0.39545,0.40348,0.26336,1.57244,2.08715,0.01859,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,3821.97,1.47933,1.92341,0.01699,0.5714,0.44443,0.46765,0.31035,1.53018,1.88659,0.01769,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,6334.56,1.44923,1.8285,0.01628,0.59307,0.4247,0.46633,0.31222,1.49621,1.8646,0.01728,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,7921.54,1.42564,1.75701,0.01595,0.6227,0.43773,0.49386,0.33677,1.49854,1.77336,0.01676,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,9042.43,1.4008,1.69613,0.01561,0.64062,0.4879,0.54324,0.37085,1.49736,1.6828,0.01639,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,9503.49,1.37709,1.64935,0.01539,0.65083,0.49237,0.55564,0.39803,1.44489,1.73902,0.01578,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,9915.61,1.36997,1.59668,0.01509,0.67172,0.50741,0.57728,0.40791,1.43988,1.60436,0.01568,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
