epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,624.302,1.06664,0.88391,0.01049,0.77996,0.63064,0.69642,0.53454,1.3128,1.64174,0.01311,0.00999224,0.00333075,0.00999224,0.00333075,0.00999224,0.00333075,0.00999224,0.00333075
2,1196.28,1.09162,0.91835,0.01076,0.72347,0.57259,0.62868,0.4733,1.34469,1.7919,0.01409,0.0199735,0.00665782,0.0199735,0.00665782,0.0199735,0.00665782,0.0199735,0.00665782
3,1753.27,1.14586,1.01931,0.01161,0.70959,0.6053,0.66416,0.48338,1.35118,1.38259,0.01407,0.0298797,0.0099599,0.0298797,0.0099599,0.0298797,0.0099599,0.0298797,0.0099599
4,2170.69,1.21296,1.17421,0.0126,0.74408,0.57965,0.64812,0.46878,1.38054,1.52604,0.01451,0.0297472,0.00991572,0.0297472,0.00991572,0.0297472,0.00991572,0.0297472,0.00991572
5,2582.97,1.21647,1.19584,0.01263,0.72659,0.55343,0.62892,0.45828,1.35006,1.45581,0.01402,0.0295515,0.00985049,0.0295515,0.00985049,0.0295515,0.00985049,0.0295515,0.00985049
6,2994.45,1.22395,1.19791,0.01266,0.69683,0.58495,0.64301,0.46879,1.36142,1.39368,0.01425,0.0293012,0.00976706,0.0293012,0.00976706,0.0293012,0.00976706,0.0293012,0.00976706
7,3405.42,1.22667,1.19489,0.01269,0.75145,0.53845,0.6093,0.44934,1.41011,2.06346,0.01517,0.0289972,0.00966574,0.0289972,0.00966574,0.0289972,0.00966574,0.0289972,0.00966574
8,3815.65,1.21125,1.20167,0.01255,0.73913,0.60383,0.67104,0.49378,1.36122,1.4034,0.01399,0.0286407,0.0095469,0.0286407,0.0095469,0.0286407,0.0095469,0.0286407,0.0095469
9,4226.07,1.20747,1.17973,0.01265,0.76696,0.57076,0.66165,0.49153,1.34541,1.48476,0.01393,0.028233,0.00941101,0.028233,0.00941101,0.028233,0.00941101,0.028233,0.00941101
10,4638.76,1.21276,1.15406,0.01253,0.75035,0.58003,0.65713,0.48065,1.35244,1.40591,0.01412,0.0277757,0.00925857,0.0277757,0.00925857,0.0277757,0.00925857,0.0277757,0.00925857
11,5092.1,1.20699,1.1498,0.01265,0.76114,0.59947,0.68117,0.49836,1.34837,1.33935,0.01388,0.0272705,0.00909017,0.0272705,0.00909017,0.0272705,0.00909017,0.0272705,0.00909017
12,5584.49,1.20593,1.1422,0.01247,0.75284,0.58499,0.6678,0.49017,1.355,1.38302,0.01392,0.0267193,0.00890645,0.0267193,0.00890645,0.0267193,0.00890645,0.0267193,0.00890645
13,6073.3,1.21402,1.1363,0.01244,0.77023,0.60184,0.68129,0.50609,1.30754,1.34588,0.0135,0.0261243,0.00870809,0.0261243,0.00870809,0.0261243,0.00870809,0.0261243,0.00870809
