epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1608.05,1.33398,2.45286,1.46767,0.29984,0.35008,0.22317,0.12723,1.47725,2.48208,1.56649,0.000332803,0.000332803,0.000332803
2,1851.88,1.36923,1.87782,1.49604,0.48296,0.38404,0.36624,0.22705,1.41779,1.99309,1.53848,0.000644153,0.000644153,0.000644153
3,2059.23,1.37312,1.74863,1.49943,0.36295,0.32013,0.26957,0.15985,1.53298,2.37357,1.65112,0.000933504,0.000933504,0.000933504
4,2569.74,1.34954,1.67589,1.48727,0.57268,0.36956,0.40536,0.26364,1.39047,1.90953,1.54158,0.000901,0.000901,0.000901
5,2858.54,1.30133,1.56811,1.4557,0.53762,0.41207,0.44337,0.28743,1.34089,1.68586,1.47718,0.000868,0.000868,0.000868
6,3074.27,1.27546,1.48051,1.42539,0.5837,0.43551,0.47813,0.32799,1.30621,1.67017,1.4648,0.000835,0.000835,0.000835
7,3291.16,1.24604,1.41011,1.41018,0.5845,0.4243,0.46012,0.30092,1.3326,1.63582,1.46655,0.000802,0.000802,0.000802
8,5547.22,1.2451,1.38601,1.4077,0.6166,0.42945,0.47753,0.33371,1.28138,1.67493,1.44537,0.000769,0.000769,0.000769
9,5889.73,1.21669,1.3373,1.39315,0.62446,0.43664,0.48972,0.34826,1.24778,1.60608,1.41085,0.000736,0.000736,0.000736
10,6101.01,1.20115,1.29795,1.38077,0.67972,0.49362,0.56103,0.39743,1.20951,1.35816,1.3659,0.000703,0.000703,0.000703
11,6358.85,1.1955,1.2544,1.36956,0.6798,0.48493,0.56796,0.40439,1.19412,1.35854,1.34466,0.00067,0.00067,0.00067
12,6580.96,1.18423,1.22938,1.35933,0.69095,0.50348,0.57909,0.41552,1.17241,1.28472,1.33487,0.000637,0.000637,0.000637
13,6795.24,1.17594,1.20791,1.35531,0.69754,0.51747,0.59235,0.42793,1.17515,1.25199,1.33922,0.000604,0.000604,0.000604
14,7011.84,1.15897,1.17301,1.34526,0.69347,0.53582,0.60375,0.43903,1.15097,1.23822,1.30972,0.000571,0.000571,0.000571
15,7219.06,1.15512,1.15773,1.33803,0.69277,0.53837,0.61381,0.44068,1.15704,1.18495,1.31298,0.000538,0.000538,0.000538
16,7433.13,1.1382,1.12989,1.32788,0.70251,0.53349,0.60804,0.43886,1.13478,1.19912,1.30049,0.000505,0.000505,0.000505
17,7634.76,1.12813,1.10395,1.32362,0.70286,0.55772,0.62801,0.45722,1.12579,1.15053,1.29511,0.000472,0.000472,0.000472
18,7852.12,1.12589,1.0921,1.32021,0.73028,0.55185,0.62972,0.4575,1.1334,1.15016,1.31105,0.000439,0.000439,0.000439
19,8049.11,1.10941,1.07413,1.31153,0.7361,0.54902,0.63685,0.46421,1.11747,1.13273,1.28387,0.000406,0.000406,0.000406
20,8265.86,1.10604,1.04195,1.30231,0.72497,0.56234,0.63826,0.4695,1.11254,1.13898,1.2911,0.000373,0.000373,0.000373
21,8503.04,1.12794,1.0077,1.33624,0.73571,0.55939,0.63666,0.46699,1.10091,1.12146,1.27534,0.00034,0.00034,0.00034
22,8717.54,1.11766,0.98233,1.32544,0.72246,0.58008,0.64694,0.47691,1.08899,1.10547,1.26091,0.000307,0.000307,0.000307
23,8911,1.09991,0.94295,1.30921,0.74961,0.56855,0.65458,0.48049,1.09258,1.07834,1.26307,0.000274,0.000274,0.000274
24,9113.97,1.08771,0.91739,1.30115,0.76085,0.56593,0.64917,0.48035,1.07759,1.07686,1.2568,0.000241,0.000241,0.000241
25,9328.51,1.07905,0.89973,1.29355,0.75979,0.56884,0.65835,0.48588,1.08992,1.0668,1.25504,0.000208,0.000208,0.000208
26,9535.4,1.06813,0.87564,1.28261,0.75138,0.57429,0.65604,0.4864,1.07263,1.06253,1.24996,0.000175,0.000175,0.000175
27,9736.06,1.05719,0.85687,1.27472,0.74775,0.58298,0.65956,0.49123,1.07478,1.05068,1.24845,0.000142,0.000142,0.000142
28,9919.39,1.04651,0.83222,1.26694,0.77357,0.57399,0.66466,0.49331,1.07503,1.03687,1.2444,0.000109,0.000109,0.000109
29,10121.6,1.02835,0.81283,1.25679,0.75873,0.58318,0.66624,0.49523,1.06928,1.04137,1.24276,7.6e-05,7.6e-05,7.6e-05
