epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.792,0.96706,1.08909,1.34409,0.76368,0.62939,0.71894,0.5148,0.95389,0.97247,1.34354,0.0667987,9.99035e-05,9.99035e-05
2,459.654,0.92056,0.97407,1.30378,0.81949,0.68281,0.78513,0.57278,0.87282,0.79748,1.25713,0.0335559,0.000190408,0.000190408
3,682.099,0.89927,0.90444,1.28333,0.8106,0.70849,0.79291,0.58011,0.86512,0.77242,1.25057,0.000303588,0.000271413,0.000271413
4,903.534,0.88961,0.86882,1.27392,0.80757,0.70013,0.79277,0.58339,0.85221,0.76244,1.24656,0.00025725,0.00025725,0.00025725
5,1122.25,0.88442,0.86096,1.27252,0.8221,0.69776,0.79343,0.58387,0.85482,0.75475,1.24652,0.000243,0.000243,0.000243
6,1347.12,0.87919,0.84785,1.26687,0.8274,0.70653,0.79872,0.58875,0.85919,0.7441,1.24469,0.00022875,0.00022875,0.00022875
7,1570.25,0.87763,0.82659,1.26307,0.81795,0.7156,0.80057,0.59138,0.85067,0.74188,1.23253,0.0002145,0.0002145,0.0002145
8,1793.11,0.86206,0.80694,1.25286,0.83344,0.71205,0.80441,0.59535,0.84844,0.73704,1.23954,0.00020025,0.00020025,0.00020025
9,2214.15,0.86054,0.80344,1.25211,0.83281,0.70282,0.8006,0.59176,0.84601,0.73316,1.23394,0.000186,0.000186,0.000186
10,2795.09,0.84943,0.79796,1.24585,0.8279,0.70907,0.80166,0.59175,0.84752,0.73425,1.23158,0.00017175,0.00017175,0.00017175
11,3394.22,0.85484,0.73886,1.25494,0.8078,0.72029,0.80056,0.59339,0.83955,0.73137,1.22931,0.0001575,0.0001575,0.0001575
12,3933.34,0.85078,0.72612,1.24816,0.83831,0.7106,0.80602,0.59799,0.83945,0.72369,1.22686,0.00014325,0.00014325,0.00014325
