class_id,class_name,n_objects,hsv_h_hist_1,hsv_h_hist_2,hsv_h_hist_3,hsv_h_hist_4,hsv_h_hist_5,hsv_h_hist_6,hsv_h_hist_7,hsv_h_hist_8,hsv_h_hist_9,hsv_h_hist_10,hsv_h_hist_11,hsv_h_hist_12,hsv_h_hist_13,hsv_h_hist_14,hsv_h_hist_15,hsv_h_hist_16,hsv_s_hist_1,hsv_s_hist_2,hsv_s_hist_3,hsv_s_hist_4,hsv_s_hist_5,hsv_s_hist_6,hsv_s_hist_7,hsv_s_hist_8,hsv_v_hist_1,hsv_v_hist_2,hsv_v_hist_3,hsv_v_hist_4,hsv_v_hist_5,hsv_v_hist_6,hsv_v_hist_7,hsv_v_hist_8,b_mean,g_mean,r_mean,b_std,g_std,r_std,h_mean,s_mean,v_mean,h_std,s_std,v_std
0,Aluminium foil,47,0.035168,0.158271,0.019502,0.007998,0.010257,0.008884,0.008496,0.003672,0.007977,0.018515,0.014134,0.003016,0.00295,0.006663,0.010953,0.016875,0.072447,0.091903,0.073178,0.044468,0.033146,0.007837,0.005397,0.004957,0.018262,0.025702,0.031901,0.043395,0.05377,0.058216,0.043393,0.058694,116.752563,129.644409,141.611526,37.592529,38.47942,40.123722,49.402786,73.443901,149.730042,25.647476,29.713093,40.457897
1,Other plastic bottle,33,0.055183,0.152048,0.032555,0.007403,0.003169,0.003739,0.003928,0.004905,0.017174,0.021741,0.007785,0.002737,0.002044,0.002727,0.003815,0.01238,0.091291,0.0979,0.050618,0.028831,0.024271,0.016338,0.014759,0.009324,0.012607,0.031701,0.032653,0.054446,0.057215,0.043213,0.045837,0.055662,115.281067,128.484406,141.85112,49.002724,48.474674,49.83849,41.363682,73.52816,147.991272,32.177105,38.061867,48.346058
2,Clear plastic bottle,209,0.041491,0.12786,0.02411,0.011226,0.009607,0.005186,0.004802,0.004099,0.018049,0.044197,0.019959,0.005343,0.004291,0.0027,0.004518,0.005896,0.121349,0.080257,0.053895,0.036315,0.02332,0.008548,0.00575,0.003899,0.016942,0.024734,0.037734,0.04497,0.061688,0.055713,0.051862,0.039691,120.619133,130.050034,135.334549,38.287148,36.326092,36.905598,51.547703,62.098423,145.323959,27.783747,29.835421,37.738106
3,Glass bottle,81,0.065668,0.097223,0.027018,0.015924,0.012195,0.006865,0.004822,0.002265,0.010367,0.033557,0.015923,0.006508,0.002946,0.002466,0.005862,0.023724,0.09931,0.065565,0.056197,0.03874,0.027967,0.01976,0.017588,0.008206,0.018317,0.038539,0.06237,0.058542,0.053182,0.036162,0.029466,0.036756,95.752083,108.263107,120.957764,41.102997,39.94923,41.017715,54.22789,79.214554,127.520905,35.230579,35.024555,41.261051
4,Plastic bottle cap,141,0.047464,0.109225,0.021214,0.006565,0.007929,0.00364,0.002912,0.005314,0.033716,0.047454,0.021502,0.003627,0.004747,0.003377,0.003366,0.011282,0.084396,0.076467,0.04782,0.032537,0.031559,0.021395,0.019178,0.01998,0.011663,0.021772,0.031968,0.044832,0.048194,0.05157,0.052601,0.070733,128.565964,132.369308,132.670441,39.9534,37.120747,37.912411,57.495613,88.074936,158.74295,24.577328,35.447845,39.043732
5,Metal bottle cap,65,0.036579,0.096874,0.040158,0.014025,0.013611,0.007319,0.019595,0.007717,0.017065,0.029446,0.00932,0.002504,0.002266,0.004177,0.006841,0.025838,0.089473,0.071925,0.073589,0.033279,0.031235,0.016076,0.011407,0.006349,0.004768,0.025866,0.053701,0.06174,0.057235,0.049145,0.03835,0.042528,111.771667,124.514465,132.239182,40.838226,41.712639,41.182373,58.251423,76.489616,143.240891,24.30304,29.753246,41.240383
6,Broken glass,130,0.114362,0.067801,0.017,0.007551,0.004509,0.001812,0.008892,0.014282,0.021629,0.023451,0.009295,0.006476,0.004808,0.004958,0.008882,0.017626,0.072867,0.076244,0.072455,0.057379,0.030895,0.014125,0.005342,0.004026,0.033782,0.0842,0.052371,0.054694,0.049319,0.030303,0.015301,0.013363,79.678978,86.397278,93.514786,34.436478,34.573845,34.323822,51.133301,77.322403,100.764595,33.563183,31.994339,35.777672
7,Aerosol,6,0.045139,0.214206,0.030043,0.001478,0.000176,0.000244,5.4e-05,4.1e-05,0.000163,0.000882,0.02162,0.001953,0.00651,0.002672,0.003147,0.005005,0.061198,0.084581,0.117472,0.043037,0.011692,0.005303,0.004584,0.005466,0.016534,0.072347,0.026069,0.035116,0.035875,0.036336,0.033583,0.077474,105.213539,119.142006,136.586502,36.43924,42.243435,44.538319,30.977457,73.094765,140.983398,30.116707,30.90904,41.040092
8,Drink can,171,0.052978,0.099272,0.026835,0.012195,0.01262,0.008718,0.009552,0.008343,0.022913,0.03925,0.013593,0.003807,0.002935,0.002887,0.005359,0.012077,0.102362,0.074213,0.056873,0.044695,0.023662,0.016751,0.00952,0.005257,0.012734,0.033502,0.045607,0.061019,0.049717,0.036545,0.036202,0.058006,116.103706,124.40184,129.914352,52.19191,51.866795,53.340969,53.948009,71.727867,142.682175,34.471382,41.558784,53.094173
9,Other carton,65,0.063614,0.109515,0.028051,0.009274,0.009483,0.00641,0.005262,0.002539,0.014814,0.035465,0.017335,0.005797,0.004152,0.00399,0.005473,0.012159,0.128164,0.074273,0.048893,0.037417,0.022663,0.011551,0.00632,0.004053,0.011945,0.025326,0.039981,0.040545,0.058045,0.043903,0.052187,0.061401,127.045074,135.692947,142.964401,47.390305,45.634399,45.689407,50.81702,62.461445,152.883713,37.015251,34.761578,46.044449
10,Drink carton,35,0.074261,0.121222,0.034594,0.01406,0.006264,0.01004,0.007568,0.004295,0.017966,0.02095,0.00592,0.002028,0.001507,0.00193,0.005011,0.00572,0.094606,0.065386,0.065792,0.036479,0.044076,0.014572,0.008454,0.003969,0.004499,0.036679,0.042427,0.055848,0.061628,0.049867,0.035838,0.046547,110.949181,127.675575,135.590073,41.752285,41.740334,41.480335,38.673325,74.71283,144.129074,29.965967,34.369797,41.090378
11,Corrugated carton,51,0.076386,0.156213,0.014436,0.006206,0.0039,0.003263,0.005366,0.005821,0.010145,0.01813,0.011773,0.004182,0.002714,0.002481,0.005129,0.007187,0.096761,0.076146,0.057338,0.055787,0.029613,0.012576,0.003273,0.00184,0.020994,0.028536,0.037235,0.05815,0.057063,0.052584,0.04909,0.02968,106.175148,119.667297,134.068359,42.474903,43.450207,44.150974,37.784725,70.07045,138.292603,31.76231,36.823578,44.313076
12,Meal carton,21,0.042484,0.102992,0.060442,0.017648,0.015908,0.005441,0.00508,0.002178,0.0061,0.026437,0.008836,0.004755,0.005751,0.005096,0.011796,0.012389,0.117668,0.077195,0.075819,0.043201,0.014563,0.003166,0.001356,0.000364,0.003898,0.016912,0.028673,0.053757,0.070161,0.056854,0.059586,0.043492,128.710846,142.421021,151.345337,46.400433,46.570026,47.118919,49.852039,57.176212,156.756836,33.036449,27.745676,47.50288
13,Paper cup,48,0.067376,0.126889,0.016327,0.007768,0.008396,0.004851,0.003993,0.002374,0.012285,0.028822,0.011066,0.006968,0.004503,0.003643,0.005229,0.022844,0.101037,0.072874,0.067639,0.03772,0.025648,0.013219,0.011612,0.003584,0.003755,0.018032,0.027647,0.054021,0.065782,0.045851,0.062914,0.05533,124.491844,135.56279,154.550491,43.887707,43.253216,42.698795,50.40469,70.161255,159.819382,34.209873,30.960098,42.571987
14,Disposable plastic cup,71,0.065364,0.123288,0.020762,0.014711,0.016851,0.005068,0.005356,0.004023,0.00985,0.026528,0.008547,0.003588,0.002778,0.002067,0.006027,0.018524,0.100116,0.086083,0.063851,0.03769,0.020698,0.010553,0.009726,0.004616,0.014082,0.026902,0.034085,0.047262,0.048193,0.06232,0.061106,0.039382,116.122856,128.674286,142.610504,41.626022,40.638287,39.553371,46.799843,67.844688,148.895493,33.627529,31.462746,41.181885
15,Foam cup,8,0.019786,0.099243,0.014526,0.006226,0.016673,0.009145,0.007426,0.012828,0.049906,0.064453,0.008484,0.02184,0.000834,0.00061,0.000702,0.000651,0.126058,0.133118,0.051748,0.014292,0.005371,0.001607,0.000804,0.000336,0.020487,0.019928,0.017853,0.04009,0.0578,0.073425,0.045909,0.057841,141.808533,145.650055,143.461975,58.776875,53.843456,50.073799,63.777496,45.441437,156.441772,28.499729,25.251293,56.544472
16,Food waste,5,0.133626,0.07972,0.029183,0.013867,0.000195,0.00013,4.9e-05,1.6e-05,0.000244,0.003825,0.009391,0.002262,0.001904,0.001921,0.004134,0.052865,0.037679,0.047591,0.059261,0.087826,0.078369,0.01932,0.002718,0.00057,3.3e-05,0.038005,0.067855,0.037923,0.041374,0.04235,0.053678,0.052116,92.377342,106.837601,144.597992,39.243626,46.039494,56.630959,47.232033,97.538086,146.148682,52.050049,37.018314,55.831505
17,Plastic lid,53,0.059282,0.124352,0.016981,0.01049,0.00819,0.00486,0.003903,0.002401,0.016866,0.050735,0.015169,0.004411,0.001918,0.00139,0.004633,0.007753,0.111062,0.073102,0.068507,0.034197,0.028509,0.006977,0.007825,0.003154,0.01521,0.026045,0.022596,0.043888,0.068327,0.070767,0.049838,0.036661,120.565666,131.960876,141.429962,38.007389,37.017799,35.558487,48.823826,65.113243,149.052765,26.896364,27.776182,36.211025
18,Metal lid,2,0.041951,0.275798,0.002523,0.000122,0.000326,0.000122,0.000407,0.000326,0.002848,0.005452,0.001302,0.000203,0.000326,0.000651,0.000732,0.000244,0.02299,0.030111,0.115967,0.097005,0.065267,0.001994,0.0,0.0,0.012492,0.087687,0.059408,0.041016,0.090373,0.033895,0.006388,0.002075,66.641846,84.226929,103.26416,35.32872,41.037201,47.504635,17.849121,93.276123,103.516113,17.290127,29.941151,47.611221
