class_id,class_name,n_objects,mean_intensity,std_intensity,p10_intensity,p50_intensity,p90_intensity,grad_mean,grad_std,edge_density
0,Aluminium foil,47,131.772522,38.233669,84.30851,130.563828,181.808517,94.964035,80.157906,0.189489
1,Other plastic bottle,33,130.99054,47.588543,67.303032,130.939392,192.787872,101.204147,97.942062,0.197798
2,Clear plastic bottle,209,130.559784,35.6329,85.610046,130.188995,176.976074,87.936516,76.445885,0.190786
3,Glass bottle,81,110.641685,39.512058,61.783951,107.228394,164.432098,98.500053,88.057083,0.203815
4,Plastic bottle cap,141,132.024872,35.358555,84.411346,135.273056,173.950348,68.675835,70.649597,0.132522
5,Metal bottle cap,65,125.373558,40.638725,73.792305,124.530769,179.692307,93.815208,86.805176,0.164243
6,Broken glass,130,87.777107,34.036156,47.569229,83.726921,135.565384,62.438824,58.454922,0.103679
7,Aerosol,6,122.790245,41.740528,62.083332,129.5,171.666672,64.567467,74.838509,0.109945
8,Drink can,171,125.109093,50.783436,62.076023,121.143272,195.608185,125.357277,109.705681,0.250737
9,Other carton,65,136.890045,44.272976,77.876923,137.430771,196.0,105.254753,97.429443,0.208402
10,Drink carton,35,128.14827,40.070305,75.128571,129.028564,178.285721,93.162697,84.84198,0.188225
11,Corrugated carton,51,122.435371,42.66151,65.0,124.813728,175.0,85.198868,97.301491,0.162521
12,Meal carton,21,143.54155,46.088463,81.428574,146.547623,199.857147,118.466484,107.828941,0.256313
13,Paper cup,48,139.989288,41.858421,86.177086,140.177078,192.59375,87.145416,91.293159,0.160762
14,Disposable plastic cup,71,131.41156,39.314365,80.105637,131.767609,182.788727,97.388397,86.221992,0.210116
15,Foam cup,8,144.569427,52.797184,67.25,160.25,203.625,85.158089,102.166382,0.151947
16,Food waste,5,116.480667,47.062496,61.0,116.400002,180.399994,75.330551,84.076202,0.145947
17,Plastic lid,53,133.506516,35.897461,87.971695,134.962265,178.83963,86.101524,83.057838,0.176311
18,Metal lid,2,87.928833,41.857399,38.0,91.5,137.0,68.765778,96.405701,0.137451
19,Other plastic,173,122.720535,38.618637,70.502892,125.063583,170.355484,97.218376,85.124474,0.186982
20,Tissues,28,128.156967,44.009552,64.875,135.642853,179.089279,95.963028,95.586044,0.178275
21,Wrapping paper,10,133.416702,44.856358,76.949997,130.100006,194.300003,115.364464,103.548721,0.254736
22,Normal paper,55,131.545227,38.777107,78.599998,134.745453,177.590912,88.531471,83.816887,0.173912
23,Paper bag,20,124.525551,43.878288,68.75,124.574997,180.25,96.829056,91.974602,0.211658
24,Plastic film,339,132.120422,40.996315,76.684364,134.120941,183.575226,103.346024,89.428093,0.221495
25,Garbage bag,23,90.337341,40.308075,43.47826,85.021736,146.304352,83.860207,82.853714,0.174019
26,Other plastic wrapper,194,126.567596,46.094002,65.75,127.041237,186.347931,116.93943,105.092896,0.230651
27,Single-use carrier bag,40,132.29599,45.591484,71.737503,135.649994,189.524994,97.82634,94.782982,0.18847
28,Crisp packet,28,138.696167,46.070103,82.321426,135.107147,200.821426,103.265129,96.666321,0.209734
29,Spread tub,6,125.279503,35.064453,78.0,125.166664,171.0,85.944366,84.644424,0.19694
30,Disposable food container,21,115.9832,35.63805,70.095238,116.14286,163.928574,85.480522,81.675331,0.17477
31,Foam food container,11,139.533752,50.290371,73.818184,149.27272,201.636368,114.157127,112.821533,0.212069
32,Plastic glooves,3,141.345535,33.336731,95.0,144.0,181.666672,139.689194,90.789604,0.290446
33,Plastic utensils,26,123.208755,47.91555,64.03846,120.230766,189.653839,118.757095,108.034744,0.229483
34,Pop tab,79,130.742737,41.151279,78.601265,129.18988,184.639236,97.621658,91.863853,0.171551
35,Rope & strings,24,123.845146,30.444458,84.916664,122.833336,164.75,84.792091,70.230904,0.200053
36,Scrap metal,13,114.725754,49.525066,43.46154,117.53846,174.692307,168.204483,130.537048,0.3125
37,Squeezable tube,6,132.126297,40.06197,69.0,141.5,175.666672,98.322876,97.230225,0.188517
38,Plastic straw,128,125.942665,45.220234,67.101562,125.988281,184.640625,109.470078,97.856796,0.213154
39,Styrofoam piece,89,137.759445,47.367477,72.325844,142.286514,194.887634,98.22892,96.369186,0.191576
40,Unlabeled litter,337,137.164154,39.889137,83.097923,139.839767,186.783386,93.288445,84.063667,0.173993
41,Cigarette,456,136.270264,35.033264,88.878288,138.472595,179.184204,63.910282,61.011047,0.113245
