epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,228.366,1.51265,2.75236,1.65825,0.32116,0.28101,0.21365,0.10392,1.71215,2.44996,1.73068,0.00999202,0.00333067,0.00999202,0.00333067,0.00999202,0.00333067,0.00999202,0.00333067
2,428.437,1.52695,2.25806,1.65654,0.37684,0.31159,0.24449,0.11487,1.81944,2.49034,1.84924,0.0195962,0.00653206,0.0195962,0.00653206,0.0195962,0.00653206,0.0195962,0.00653206
3,619.464,1.56559,2.24758,1.70888,0.36409,0.30622,0.24627,0.12312,1.7271,2.53245,1.79771,0.0288043,0.00960145,0.0288043,0.00960145,0.0288043,0.00960145,0.0288043,0.00960145
4,809.646,1.57757,2.22398,1.73606,0.45198,0.3474,0.33113,0.17179,1.66805,2.14515,1.71548,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,998.632,1.53831,2.08841,1.6925,0.45098,0.35783,0.34099,0.19471,1.53759,2.09371,1.65385,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1187.18,1.49599,1.95527,1.66156,0.49638,0.37434,0.38041,0.22833,1.49225,2.07353,1.59576,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1373.17,1.47499,1.89853,1.64613,0.56189,0.38813,0.42562,0.26095,1.42288,1.87837,1.54589,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1709.4,1.44043,1.83377,1.61784,0.57532,0.39987,0.43864,0.26183,1.45679,1.79305,1.56624,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2139.67,1.42446,1.79107,1.60701,0.57374,0.42282,0.46658,0.30002,1.3406,1.6676,1.482,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2747.93,1.414,1.75147,1.59145,0.57475,0.42809,0.46816,0.29566,1.36707,1.68161,1.50716,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3336.75,1.40085,1.7045,1.58127,0.58999,0.45377,0.48634,0.30836,1.33674,1.61867,1.47868,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3805.55,1.38458,1.66894,1.56987,0.61027,0.43625,0.48682,0.31969,1.33858,1.60299,1.48045,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4366.82,1.37163,1.63281,1.55686,0.62439,0.44786,0.50122,0.33537,1.28438,1.62954,1.44338,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4826.63,1.37069,1.6194,1.55501,0.60608,0.4531,0.49808,0.32965,1.30015,1.52417,1.44698,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5068.06,1.3557,1.58786,1.54558,0.60664,0.45957,0.51459,0.34202,1.2977,1.52027,1.42795,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5259.14,1.35687,1.57464,1.54125,0.61368,0.45944,0.51135,0.34187,1.27123,1.48653,1.41955,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5448.63,1.34326,1.54628,1.52987,0.6401,0.48677,0.53988,0.36316,1.25168,1.40108,1.4071,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5640.61,1.32659,1.53169,1.52896,0.60605,0.48794,0.53409,0.36462,1.24831,1.41066,1.40409,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5838.56,1.33676,1.51222,1.52279,0.64844,0.47461,0.54038,0.36837,1.23717,1.40157,1.38757,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,6038.11,1.31272,1.49079,1.51088,0.63565,0.47945,0.53951,0.36782,1.22828,1.408,1.37956,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,6528.45,1.31266,1.47779,1.5064,0.63645,0.49007,0.54965,0.3768,1.22056,1.36743,1.36975,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,6983.58,1.30563,1.4578,1.50308,0.66651,0.48348,0.5503,0.38119,1.20429,1.36449,1.37029,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,7425.98,1.29956,1.44382,1.49756,0.65733,0.50074,0.55799,0.38858,1.19578,1.35611,1.36536,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,7893.15,1.28977,1.43083,1.49447,0.64564,0.50791,0.56583,0.39477,1.18256,1.33635,1.34902,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,8293.26,1.28645,1.42046,1.48875,0.66707,0.50768,0.56764,0.39354,1.18695,1.33829,1.35146,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,8481.6,1.2911,1.41316,1.49211,0.66265,0.50452,0.56756,0.39593,1.18137,1.33391,1.34981,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,8669.85,1.28177,1.38395,1.47845,0.65212,0.51752,0.57012,0.39863,1.18086,1.32135,1.34557,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,8858.85,1.27313,1.36674,1.47246,0.66036,0.51753,0.57847,0.40476,1.16956,1.28101,1.34323,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,9047.78,1.27331,1.36067,1.47393,0.65954,0.52749,0.58021,0.40728,1.16339,1.28007,1.33783,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,9233.95,1.26232,1.34618,1.46729,0.65851,0.53051,0.58058,0.40849,1.1559,1.28988,1.32768,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,9420.59,1.25998,1.33892,1.46206,0.67976,0.51922,0.58322,0.41156,1.15141,1.28928,1.32344,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,9607.78,1.25358,1.32127,1.4612,0.67165,0.51946,0.58109,0.40895,1.15467,1.28526,1.32531,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,9797.51,1.24916,1.30869,1.45711,0.66725,0.52668,0.58225,0.41167,1.14936,1.29261,1.32268,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9986.74,1.24228,1.29971,1.45003,0.65949,0.53137,0.58465,0.41461,1.14494,1.2887,1.32007,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10544.1,1.24059,1.28611,1.44799,0.66703,0.5282,0.58615,0.41592,1.14021,1.28151,1.31627,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,11048.8,1.22511,1.27034,1.43819,0.67958,0.53054,0.59191,0.42014,1.13897,1.26418,1.31329,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,11659,1.22946,1.27051,1.43637,0.68672,0.53377,0.59437,0.42186,1.14072,1.26112,1.31333,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,12112.3,1.22593,1.25096,1.43564,0.68572,0.52924,0.59472,0.42313,1.13992,1.2591,1.31256,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,12703.4,1.22233,1.24112,1.43056,0.68905,0.52963,0.59614,0.42473,1.13407,1.25351,1.30852,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,13428.7,1.20881,1.22452,1.42202,0.69538,0.52726,0.59609,0.42479,1.13194,1.25304,1.30674,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
