epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,428.534,1.08218,1.26872,1.4109,0.68139,0.53173,0.59851,0.41352,1.10345,1.21506,1.34427,0.014994,0.004998,0.014994,0.004998,0.014994,0.004998,0.014994,0.004998
2,811.231,1.10842,1.32381,1.42779,0.62837,0.50797,0.55387,0.36193,1.22003,1.38091,1.4247,0.0285093,0.0095031,0.0285093,0.0095031,0.0285093,0.0095031,0.0285093,0.0095031
3,1182.52,1.1697,1.4595,1.47647,0.6381,0.50818,0.5513,0.36916,1.16484,1.37261,1.40697,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
4,2941.02,1.15259,1.42243,1.4637,0.65334,0.49185,0.54017,0.36118,1.1901,1.3762,1.4066,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,3299.52,1.13947,1.40687,1.45877,0.66404,0.5098,0.5712,0.38199,1.14986,1.29985,1.37746,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,3660.79,1.12911,1.38,1.44989,0.67049,0.5307,0.58741,0.39958,1.12194,1.24959,1.35179,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,4022.7,1.11391,1.34558,1.43446,0.68656,0.51611,0.58783,0.40952,1.09377,1.2365,1.3169,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,4391.77,1.11388,1.32645,1.43245,0.68376,0.53789,0.60509,0.42141,1.08246,1.19616,1.31411,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,4752.29,1.0915,1.29611,1.42166,0.69538,0.55415,0.62227,0.43523,1.05999,1.13936,1.3048,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,5120.18,1.09228,1.27607,1.41689,0.691,0.56273,0.62641,0.43821,1.06005,1.12945,1.29486,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,5502.66,1.04422,1.1064,1.42211,0.69832,0.56631,0.63624,0.44609,1.05964,1.09768,1.28532,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,5865.16,1.02237,1.05688,1.40157,0.69895,0.56816,0.63338,0.45021,1.03042,1.07863,1.26431,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,6226.28,1.00232,1.01876,1.38356,0.72353,0.57206,0.646,0.46133,1.0199,1.05887,1.25592,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,6597.41,0.99079,0.98063,1.37374,0.7145,0.57178,0.64233,0.45925,1.01466,1.05873,1.25055,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,6964.78,0.97889,0.94455,1.36016,0.71138,0.57687,0.64695,0.46629,0.99949,1.03754,1.239,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,7331.23,0.96118,0.909,1.34795,0.72352,0.5773,0.64897,0.47119,0.98922,1.02214,1.22897,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,7706.2,0.94696,0.87938,1.33313,0.72983,0.57776,0.65404,0.47395,0.98692,1.01306,1.22634,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,8072.94,0.93064,0.85146,1.32034,0.73659,0.5774,0.65305,0.474,0.98249,1.01626,1.2254,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,8433.97,0.91452,0.82478,1.31027,0.73358,0.57856,0.65458,0.47541,0.9792,1.01292,1.2214,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,8789.57,0.90732,0.79816,1.3,0.73023,0.58142,0.65433,0.47604,0.97699,1.01077,1.21922,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
