epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.295,0.92613,1.10461,1.27045,0.71783,0.59857,0.66683,0.4909,1.00836,1.07908,1.23677,0.00333204,0.00333204,0.00333204
2,758.291,0.88792,1.01319,1.24104,0.71338,0.60446,0.67204,0.49536,1.00426,1.06191,1.23186,0.00644541,0.00644541,0.00644541
3,1111.34,0.90465,1.05948,1.25248,0.69616,0.59127,0.65049,0.46967,1.04347,1.11696,1.26057,0.00933879,0.00933879,0.00933879
4,1469.27,0.93456,1.13448,1.27468,0.71953,0.57591,0.64592,0.46912,1.03569,1.12307,1.27032,0.00901,0.00901,0.00901
5,1961.53,0.92223,1.10869,1.26543,0.7129,0.59751,0.65743,0.4795,1.02307,1.10198,1.25054,0.00868,0.00868,0.00868
6,3065.39,0.92522,1.09984,1.26735,0.72228,0.60668,0.67163,0.4878,1.0188,1.07205,1.25116,0.00835,0.00835,0.00835
7,4208.62,0.91752,1.07841,1.26237,0.73086,0.61872,0.68703,0.50344,0.99711,1.02385,1.2262,0.00802,0.00802,0.00802
8,5218.66,0.90769,1.06743,1.25442,0.72832,0.62779,0.69184,0.51063,0.98574,1.01981,1.21602,0.00769,0.00769,0.00769
9,6321.82,0.90358,1.0503,1.25117,0.74622,0.61891,0.69766,0.51318,0.97567,1.00525,1.21005,0.00736,0.00736,0.00736
10,7350.55,0.8971,1.03763,1.24582,0.74427,0.63803,0.71188,0.52358,0.97605,0.97683,1.2028,0.00703,0.00703,0.00703
11,8365.24,0.89171,1.02263,1.24204,0.7619,0.63491,0.71812,0.53035,0.95945,0.96193,1.19175,0.0067,0.0067,0.0067
12,9365.02,0.88892,1.01013,1.2376,0.77216,0.6425,0.72325,0.53825,0.95226,0.93841,1.18632,0.00637,0.00637,0.00637
13,10263.4,0.88711,1.00133,1.23683,0.7666,0.6469,0.72906,0.54388,0.9436,0.92772,1.17607,0.00604,0.00604,0.00604
14,11056.2,0.87516,0.98407,1.2289,0.77288,0.65499,0.73628,0.54985,0.93518,0.91181,1.17085,0.00571,0.00571,0.00571
15,11416.4,0.86957,0.97252,1.22486,0.77841,0.65517,0.73917,0.55328,0.9271,0.89704,1.16509,0.00538,0.00538,0.00538
16,12253.1,0.86705,0.96052,1.22418,0.77666,0.66101,0.74327,0.55571,0.92735,0.89755,1.16389,0.00505,0.00505,0.00505
17,364.025,0.85672,0.93327,1.21509,0.77541,0.66778,0.74659,0.55996,0.92094,0.88997,1.15769,0.00472,0.00472,0.00472
18,748.758,0.85863,0.93016,1.21368,0.7752,0.66975,0.74812,0.56212,0.91817,0.88028,1.15442,0.00439,0.00439,0.00439
19,1100.98,0.84796,0.91001,1.20972,0.77708,0.66863,0.75094,0.56396,0.91737,0.87604,1.1551,0.00406,0.00406,0.00406
20,1459.61,0.84218,0.90388,1.20588,0.782,0.67082,0.75184,0.56413,0.91666,0.87376,1.15429,0.00373,0.00373,0.00373
21,1844.39,0.90162,0.86502,1.24622,0.7869,0.67392,0.75453,0.56747,0.91005,0.8631,1.1489,0.0034,0.0034,0.0034
22,2206.41,0.89172,0.8381,1.23438,0.78889,0.67575,0.75699,0.56996,0.90673,0.8569,1.14617,0.00307,0.00307,0.00307
23,2571.08,0.87626,0.81197,1.22406,0.79355,0.67717,0.75915,0.57181,0.90395,0.85147,1.1437,0.00274,0.00274,0.00274
24,2925.58,0.86883,0.78929,1.21542,0.79825,0.6767,0.76112,0.57349,0.9018,0.84673,1.14098,0.00241,0.00241,0.00241
25,3296.61,0.8595,0.77096,1.20831,0.80092,0.67615,0.76287,0.57496,0.89979,0.84266,1.13857,0.00208,0.00208,0.00208
26,3664.37,0.84585,0.74976,1.20159,0.79844,0.67818,0.76374,0.57588,0.89815,0.83936,1.13687,0.00175,0.00175,0.00175
27,4029.3,0.83716,0.73033,1.19482,0.79421,0.68497,0.76494,0.57645,0.89645,0.83646,1.13539,0.00142,0.00142,0.00142
28,4381.37,0.82827,0.71356,1.18695,0.79698,0.68487,0.7657,0.57705,0.89553,0.83435,1.13433,0.00109,0.00109,0.00109
29,4747.51,0.81771,0.69298,1.17842,0.79727,0.68769,0.76665,0.57773,0.89476,0.83203,1.13336,0.00076,0.00076,0.00076
30,5123.32,0.81161,0.67689,1.17302,0.79742,0.68824,0.7675,0.57831,0.89442,0.83032,1.13294,0.00043,0.00043,0.00043
